,Question,Predicted Answer
13,"
				Yes my wife has been dianosed with giant cell vasculitis
				Our doctors are not clear about this so im asking for help
				From you . She has vomited something like coffee grounds and swelling in her feet and legs is really bad.migranes and face swelling to.no blood clots but nothing to go on so please help if u can thank u [NAME]
				[CONTACT]
			"," Giant cell arteritis is a type of blood vessel disease. It occurs when the arteries become inflamed. The condition most often affects the aorta and the arteries of the head, neck, and arms. It can also affect the legs.  The condition is caused by inflammation of the walls of the blood vessels. This inflammation leads to the formation of giant cells, which are large cells that are not normally found in the blood vessels.  Giant cell arteritis is most often seen in people over the age of 50. It is more common in women than in men.  The symptoms of giant cell arteritis include:  - Headache  - Blurred vision  - Pain in the arms and legs  - Swollen lymph nodes  - Fever  - Weight loss  -"
14,"I was diagnosed with Fibromyalgia with chronic pain along with some other things and my blood work showed that I was missing a chromosone. How would I find out if I have a genetic for of Fibromyalgia?
			"," Genetic testing is not available for fibromyalgia. There is no single test that can diagnose fibromyalgia. Instead, a diagnosis is based on a combination of the following:  - A thorough medical history and physical examination.  - Blood tests to rule out other conditions that may cause similar symptoms.  - Imaging tests, such as X-rays or magnetic resonance imaging (MRI), to rule out other conditions that may cause similar symptoms.  - A rheumatologist or other health care provider will perform a physical examination and ask questions about your symptoms.  - A diagnosis of fibromyalgia is made when you have widespread pain and fatigue that lasts at least 3 months.  - A diagnosis of fibromyalgia is also made when you have tender points on your body that are tender to the touch.  - A diagnosis of fibromyalgia is also made when you have a history of sleep disturbances, morning stiffness, and other symptoms.  - A diagnosis of fibromyalgia is also made when"
15,"
				I want to find a doctor who specializes in burning mouth syndrome and that could be in many specialities, I cannot understand how to do this on your website.
			"," The American Academy of Otolaryngology - Head and Neck Surgery (AAO-HNS) has a list of specialists in your area.  You can search by name, location, or specialty.  You can also search by state or city.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You can also search by the type of care you need, such as a doctor who sees patients in an office or a hospital.  You"
16,Can I stop using the patch only been on it 4.5 months," If you are taking birth control pills, you can stop taking them at any time. However, you may have withdrawal bleeding if you stop taking them too soon. You should talk to your health care provider about how to stop taking birth control pills safely.  If you are using a contraceptive patch, you should stop using it at the end of the cycle. You should not use the patch again until the next cycle.  If you are using a contraceptive ring, you should stop using it at the end of the cycle. You should not use the ring again until the next cycle.  If you are using a contraceptive implant, you should talk to your health care provider about how to stop using it safely.  If you are using a contraceptive injection, you should talk to your health care provider about how to stop using it safely.  If you are using a contraceptive vaginal ring, you should stop using it at the end of the cycle. You should not use the ring again until the next cycle.  If you are using a contraceptive diaphragm, you should stop using it at the end of the cycle. You should not use the diaphragm again until the next cycle.  If you are using a contraceptive cervical cap, you should stop using it"
17,"
				I sometimes drop Peroxide into the ear and let it bubble for a couple of minutes, then use warm water to flush it out. is there harm?
			"," The use of hydrogen peroxide in the ear is not recommended. It can cause damage to the ear drum and may lead to hearing loss.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection, you should see a doctor.  If you have an ear infection,"
18,"
				I work in a hospital, and a question recently came up regarding the stability of Sevoflurane once it has been opened. Does Sevoflurane expire within a particular timeframe or is the product still effective until the expiration date listed on the bottle?
			"," Sevoflurane is a stable anesthetic agent that does not deteriorate significantly over time. The shelf life of sevoflurane is 24 months at room temperature (20-25°C) and 12 months at 30°C. However, the expiration date listed on the bottle is the date by which the manufacturer guarantees the product's potency and stability. After this date, the product may still be safe and effective, but its potency may decrease. It is important to follow the manufacturer's recommendations for storage and handling to ensure the product remains stable and effective.  - See more at: http://www.medicinenet.com/sevoflurane/article.html#what_is_sevoflurane_used_for   - See more at: http://www.medicinenet.com/sevoflurane/article.html#what_is_sevoflurane_used_"
19,"
				Would like to learn more about condition on ODD
			","  Oppositional defiant disorder (ODD) is a behavior disorder that is characterized by angry or irritable mood, argumentative or defiant behavior, or vindictive behavior directed at others.  ODD is a common behavior disorder that affects children and adolescents. It is often seen in children who are having difficulty adjusting to changes in their environment, such as a new home, school, or peer group.  Children with ODD may have difficulty following rules, may be easily frustrated, and may be prone to angry outbursts. They may also be physically aggressive, and may be resistant to authority figures.  ODD is often seen in children who are having difficulty adjusting to changes in their environment, such as a new home, school, or peer group.  Children with ODD may have difficulty following rules, may be easily frustrated, and may be prone to angry outbursts. They may also be physically aggressive, and may be resistant to authority figures.  ODD is often seen in children who are having difficulty adjusting to changes in their environment, such as a new home, school, or peer group.  Children with ODD may have difficulty following rules"
20,Beckwith-Wieddeman Syndrome. I would like to request further knowledge on this specific disorder.," Beckwith-Wiedemann syndrome is a rare genetic disorder that affects the body's growth and development. It is caused by a change in the genetic material (DNA) that is passed from a parent to a child. This change can occur in any gene, but the most common change is in the gene for insulin-like growth factor 2 (IGF2).  The signs and symptoms of Beckwith-Wiedemann syndrome vary from person to person. Some people with this condition may have a large tongue, a large abdomen, and a large liver. Others may have a smaller than normal head, a larger than normal body size, and a delay in reaching developmental milestones such as sitting, standing, and walking. Some people with this condition may also have a condition called macroglossia, which is an abnormally large tongue.  The signs and symptoms of Beckwith-Wiedemann syndrome can vary from person to person. Some people with this condition may have a large tongue, a large abdomen, and a large liver. Others may have a smaller than normal head, a larger than normal body size, and a delay in reaching developmental milestones such as sitting, standing, and walking"
21,"
				CITROBACTOR FREUNDII.
				Does ciprofaxin work well? Is there a better drug if so what.
			"," Ciprofloxacin is an antibiotic that is used to treat a wide range of bacterial infections. It is particularly useful for treating infections that are caused by Gram-negative bacteria, such as Escherichia coli (E. coli) and Pseudomonas aeruginosa. Ciprofloxacin is also used to treat urinary tract infections, including kidney infections. It is also used to treat anthrax and plague.  Ciprofloxacin works by blocking the activity of the bacterial enzyme called DNA gyrase. This enzyme is necessary for the bacteria to replicate their DNA. By blocking the activity of DNA gyrase, ciprofloxacin prevents the bacteria from replicating their DNA, which leads to the death of the bacteria.  Ciprofloxacin is available in a variety of formulations, including tablets, capsules, and an oral solution. It is usually taken twice a day, once in the morning and once in the evening"
22," Hi I have a toddler 22 months and he was long exposure to car seat when he was infant and developed a flat head by then that was resolved, but since then he seems like his back is not well, he only sleep on his tummy, he hates to lay down on his back , he has a bad sitting position when
				on his car seat and other thing, I was wondering if he may need an evaluation to avoid further damage to his back, please let me know what kinf of doctor should I see, cause his pedi. Dr. Does not has any concerns about it. Thanks.
			"," The American Academy of Pediatrics recommends that children be placed in a car seat or other approved restraint for every trip, regardless of the distance or the child's age or size.  The American Academy of Pediatrics recommends that children be placed in a car seat or other approved restraint for every trip, regardless of the distance or the child's age or size.  The American Academy of Pediatrics recommends that children be placed in a car seat or other approved restraint for every trip, regardless of the distance or the child's age or size.  The American Academy of Pediatrics recommends that children be placed in a car seat or other approved restraint for every trip, regardless of the distance or the child's"
23,"
				My son was treated for otitis media on [DATE]. Pains started the previous night. He is taking amoxicillin and antipyrine-benzocaine 5.5%-1.5% ear drops. This morning he woke up with a bit of blood drainage. Is that normal?
			", The symptoms of otitis media may include:  - Ear pain  - Fever  - Difficulty hearing  - Discharge from the ear  - Swelling of the ear drum  - Redness of the ear drum  - Inflammation of the middle ear  - Inflammation of the mastoid (the bone behind the ear)  - Inflammation of the eustachian tube (the tube that connects the middle ear to the back of the nose)  - Inflammation of the adenoids (the gland in the back of the nose)  - Inflammation of the tonsils (the gland in the back of the throat)  - Inflammation of the lymph nodes (the gland that filters out bacteria and viruses)  - Inflammation of the skin around the ear  - Inflammation of the lining of the middle ear  - Inflamm
24,I would like to know if there are any drug reaction between Carvedilol 25 mg to Hydrslazine50 mg," Carvedilol may interact with other medications.  Tell your doctor about all medications you use, including vitamins and herbal supplements.  Some medications or supplements that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:  - Other medications that may interact with carvedilol include:"
25,"Hello, I would like to know if taking Dicyclomine 20mg, phentermine can have a adverse effect?"," Dicyclomine is used to treat irritable bowel syndrome (IBS). It is also used to treat other stomach and bowel problems such as diarrhea, cramps, and bloating.  Dicyclomine is an anticholinergic. It works by blocking the action of acetylcholine (ACh). Acetylcholine is a neurotransmitter that is involved in many functions in the body, including muscle contraction, nerve transmission, and the regulation of the heart.  Dicyclomine is available only with your doctor's prescription.  Dicyclomine is available in the following forms:   - Tablet (delayed-release)   - Tablet (immediate-release)   - Tablet (oral solution)   - Tablet (extended-release)   - Tablet (capsule)   - Tablet (suspension)   - Tablet (powder)   - Tablet (liquid)   - Tablet (gelatin capsule)   - Tablet (gelatin, glycerin, and water)   - Tablet (gelatin, glycerin,"
